epoch,train_loss,train_f1,train_iou,val_loss,val_f1,val_iou,val_precision,val_recall,lr,time_seconds
1,0.4993,0.0251,0.0127,0.516,0.0001,0.0,0.0168,0.0,0.0001,38.42
2,0.4907,0.0024,0.0012,0.4913,0.0002,0.0001,0.0512,0.0001,9.891830623632339e-05,30.63
